WP Title,Result type (outcome or output),Result Short title,Result Statement,Result Type,Responsible Organization,Partners,Outcome actor type,Outcome actor type of change,Outcome: Is actor a partner?,Qualitative: minimum level of success,Qualitative: moderate level of success,Qualitative: maximum level of success,Location,Country,Region,Indicator,Type,Unit of measurement,Data source,Data collection method,Data collection frequency,Location.1,Country.1,Region.1,Baseline value,Baseline date,Target value,Target date,Source_File,Function Title,Module Title,Topic
Work Package 1 On-farm technologies in social context: Improving local capacities and inclusive scaling mechanisms  ,OUTCOME,"1.3 Access to climate change adaptation planning and scaling tools is strengthened.

","Research, extension and producer partners have access to tools developed or strengthened by the Initiative for analyzing on-farm environmental and socio-economic tradeoffs and synergies in climate smart livestock practices.",Capacity,International Livestock Research Institute,"International Center for Agricultural Research in the Dry Areas, Alliance of Bioversity and CIAT - Headquarter (Bioversity International)","policymaker, government body, non-government organizations (NGO)","change in knowledge, change in skills",Yes,,,,global,,,Accessible tools developed or strengthened for analysing on-farmer environmental and socio-economic tradeoffs and synergies,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",# of approaches ,Primary, Direct ,Annual,regional,,,0,02/02/2022,1,31/12/2024,"INIT-34 - Livestock, Climate and System Resilience_.xlsx",,,-1
Work Package 2 Digital services to manage climate risk in livestock agrifood systems ,OUTCOME,2.1 Delivery of gender-sensitive livestock climate information services ,"At least three meteorological services, livestock producers' organizations or extension services deliver gender-sensitive livestock CIS for climate risk management.",Capacity,,,,,Yes,,,,global,,,Number of stakeholders using delivering gender-sensitive livestock CIS for climate risk management,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,,,,global,,,0,02/02/2024,3,31/12/2024,"INIT-34 - Livestock, Climate and System Resilience_.xlsx",,,23
Work Package 2 Digital services to manage climate risk in livestock agrifood systems ,OUTCOME,2.2 Digtal risk-scoring system quality standards for insurance,At least three financial service providers in three countries adopt insurance-focused digital risk-scoring system quality standards.,Innovation,,,,,Yes,,,,global,,,Number of financial service providers adopting insurance-focused digital risk-scoring system quality standards.,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,,,,global,,,0,02/02/2022,3,31/12/2024,"INIT-34 - Livestock, Climate and System Resilience_.xlsx",,,11
Work Package 2 Digital services to manage climate risk in livestock agrifood systems ,OUTCOME,2.3 Risk reduction platform used  to monitor livestock production systems,Public institutions in at least three countries use risk reduction platform developed by the Livestock and Climate Initiative to monitor livestock production systems.,Capacity,,,,,Yes,,,,global,,,Public institutions using use risk reduction platform developed by the Livestock and Climate Initiative to monitor livestock production systems,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,,,,global,,,0,02/02/2022,3,31/12/2024,"INIT-34 - Livestock, Climate and System Resilience_.xlsx",,,23
Work Package 2 Digital services to manage climate risk in livestock agrifood systems ,OUTCOME,2.4 Service bundles for climate risk management ,At least three agricultural small-medium enterprises across three countries adopt service bundles for climate risk management.,Innovation,,,,,Yes,,,,global,,,Number of small-medium enterprises adopting service bundles for climate risk management.,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,,,,global,,,0,02/02/2022,3,31/12/2024,"INIT-34 - Livestock, Climate and System Resilience_.xlsx",,,11
Work Package 3 System level research and interventions that build climate-resilient and low emission livestock production systems,OUTCOME,"3.1 Uptake of validated tools, technologies and processes by governments and other stakeholders","At least four governments uptake, implement and/or scale validated tools, methodologies, approaches and trainings developed by the Livestock and Climate Initiative for improving the resilience of  livestock production systems to climate change and other stresses.",Uptake of information product,,,Farmers,"change in knowledge, change in attitude, change in skills, change in relationship, change in behavior/practice",Yes,,,,global,,,"Number of governments uptaken, implemented or scaled validated tools, methodologies, approaches and trainings developed by the Livestock and Climate Initiative ","Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",#governemnts ,,,,regional,,,0,02/02/2022,4,31/12/2024,"INIT-34 - Livestock, Climate and System Resilience_.xlsx",,,23
Work Package 3 System level research and interventions that build climate-resilient and low emission livestock production systems,OUTCOME,"3.2 Validated co-developed  tools, technologies and processes to improve land use planning, management and  governance of land and resources","Livestock keepers use co-developed tools, methodologies and approaches to build the resilience of low-emission livestock production systems to climate related shocks and stresses.  ",Uptake of information product,,,,,Yes,,,,global,,,"Number of validated co-developed  tools, technologies and processes to improve land use planning, management and  governance of land and resources used by stakeholders","Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number of tools,Primary,"Partners, direct tracking","Annual, Continuous",regional,,,0,12/05/2022,10,31/12/2024,"INIT-34 - Livestock, Climate and System Resilience_.xlsx",,,15
Work Package 4 Science to finance the transition to low-emission and resilient livestock agrifood systems ,OUTCOME,4.1 Livestock investments designed and tracked,Public and private investors have used the Livestock and Climate Initiative results and/or innovations to design and track livestock investments worth at least US$25 million by 2024.,Uptake of information product,Alliance of Bioversity and CIAT - Headquarter (Bioversity International),"International Livestock Research Institute, International Center for Agricultural Research in the Dry Areas","government body, private company, donor",change in behavior/practice,No,Investors cite L&C research,Investors change plans incrementally.,Investors go into a new business opportunity because of LCSR,global,,,Number of investors using data or adopting innovations produced to design or track investments,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number of Organizations,Primary,Direct,Annual,regional,,,0,12/05/2022,4,31/12/2024,"INIT-34 - Livestock, Climate and System Resilience_.xlsx",,,0
Work Package 4 Science to finance the transition to low-emission and resilient livestock agrifood systems ,OUTCOME,4.2 Awareness on livestock investment opportunities and risks raised,"At least three public and private sector investors become aware of the scope of opportunity, risks and how to measure progress for livestock investments under climate change.",Capacity,Alliance of Bioversity and CIAT - Headquarter (Bioversity International),"International Livestock Research Institute, International Center for Agricultural Research in the Dry Areas",,change in knowledge,Yes,"Investors have attended webinars, meetings or workshops",Bi-lateral meetings with investors have taken place to identify needs and discuss partnership,Investors use L&C research outputs to guide investments.,global,,,"Number of investors informed of the scope of opportunity, risks and how to measure progress for livestock investments under climate change","Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",# of public or private sector investors ,Primary ,,,regional,,,0,01/01/2022,3,31/12/2024,"INIT-34 - Livestock, Climate and System Resilience_.xlsx",,,23
"Work Package 5 Improving the enabling policy environment for more resilient, low emission livestock production systems",OUTCOME,5.1 National targets for climate-related commitments reported using improved systems,At least four national governments set or reported climate-related livestock adaptation or mitigation targets using science or systems strengthened or established by the Livestock and Climate Initiative.,Other,International Livestock Research Institute,Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical),"policymaker, government body","change in knowledge, change in behavior/practice",Yes,,,,country,,,Number of national governments reporting climate targets using science or systems strengthened or established,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary,Direct,Annual,regional,,,0,12/05/2022,4,31/12/2024,"INIT-34 - Livestock, Climate and System Resilience_.xlsx",,,11
"Work Package 5 Improving the enabling policy environment for more resilient, low emission livestock production systems",OUTCOME,5.2 Improved livestock or climate sector policies ,"Governments in at least four countries used Livestock and Climate-generated knowledge on climate mitigation, adaptation or resilience in livestock production systems in the design, development or implementation of livestock-related agricultural policies.",Other,International Livestock Research Institute,,"policymaker, government body","change in knowledge, change in behavior/practice, Change in policy",Yes,,,,country,,,"Number of governments using Livestock and Climate-generated knowledge in the design, development of impelementation of livestock-related agricultural policies. ","Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Policy documents,Primary,Direct,Annual,regional,,,0,12/05/2022,4,31/12/2024,"INIT-34 - Livestock, Climate and System Resilience_.xlsx",,,23
"Work Package 5 Improving the enabling policy environment for more resilient, low emission livestock production systems",OUTCOME,5.3 Public statements on livestock and climate change,"At least four global platforms or conventions made public statements on climate change using science, processes or systems generated and developed by the Livestock and Climate Initiative. ",Uptake of information product,International Livestock Research Institute,,policymaker,"change in knowledge, change in attitude, change in behavior/practice",Yes,,,,global,,,"Number of global platforms or conventions that made  public statements on climate change using science, processes or systems generated and developed by the Livestock and Climate Initiative","Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary ,Direct,Annual ,regional,,,0,12/05/2022,4,31/12/2024,"INIT-34 - Livestock, Climate and System Resilience_.xlsx",,,23
Work Package 1 Technologies and practices for sustainable productivity,OUTCOME,WP1-1: Use by public and private sector value-chain actors of promoted genetic improvement programs in smallholder systems ,"Use by public and private sector value-chain actors of promoted genetic improvement programs in smallholder systems, built on the needs and preferences of livestock keepers in 7 countries and incorporating ICT, genomic and reproductive technologies as appropriate (WP1-1)",Innovation,,,"government body, private company, small and medium enterprises (SME), Farmers’ associations",change in behavior/practice,Yes,,,,country,"The Socialist Republic of Viet Nam, Mali, Ethiopia, Tanzania, United Republic, Nepal, Uganda, Kenya",,"Number of actors (private companies and individuals, community groups,...) using models for genetic improvement  (disaggregated by gender)",Number of actors (individuals and groups) using the CGIAR innovation ,Number,Primary,KII; KASP,"Baseline, Midline, End of Initiative",country,,,0,01/01/2022,"20
 0
 0","01/01/2025
 31/12/2022
 31/12/2023","INIT-17 - Sustainable Animal Productivity for Livelihoods, Nutrition and Gender Inclusion.xlsx",,,19
Work Package 1 Technologies and practices for sustainable productivity,OUTCOME,"WP1-2: Development partners, public and private seed sector use, promote and commercialise improved forage and food-feed crops ","Development partners, public and private seed sector use, promote and commercialise improved forage and food-feed crops and feed companies employ prioritization approaches to improve feed options and reduce livestock feeding gap (WP1-2)",Innovation,,,"government body, private company, small and medium enterprises (SME), non-government organizations (NGO), Farmers’ associations, intergovernmental organization ",change in behavior/practice,Yes,,,,country,"Ethiopia, Kenya, Nepal, The Socialist Republic of Viet Nam, Uganda, Mali, Tanzania, United Republic",,Number of institutions / partners using the innovation (disaggregated by gender) (target at organisation level),Number of institutions or partners using the innovation,Number,Primary,KII; KASP,"Baseline, Midline, End of Initiative",country,,,0,01/01/2022,"14
 1
 0","01/01/2025
 31/12/2022
 31/12/2023","INIT-17 - Sustainable Animal Productivity for Livelihoods, Nutrition and Gender Inclusion.xlsx",,,19
Work Package 1 Technologies and practices for sustainable productivity,OUTCOME,WP1-3: Animal health system actors promote and use tools and technologies to reduce disease burden,Animal health system actors in 7 countries promote and use tools and technologies (herd health packages and disease control) to reduce disease burden  (WP1-3),Innovation,,,"government body, private company, small and medium enterprises (SME), Farmers’ associations",change in behavior/practice,Yes,,,,country,"Kenya, Uganda, The Socialist Republic of Viet Nam, Mali, Tanzania, United Republic, Nepal, Ethiopia",,"Number of actors (AHA, Vets, Paravets, agrovet, government extension) using the innovation (disaggregated by gender)","Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary,KII; KASP surveys,"Baseline, Midline, End of Initiative",country,,,0,01/01/2022,"150
 0
 0","01/01/2025
 31/12/2022
 31/12/2023","INIT-17 - Sustainable Animal Productivity for Livelihoods, Nutrition and Gender Inclusion.xlsx",,,19
Work Package 2 Livestock derived foods as part of diverse diets,OUTCOME,WP2-1: Government and development practitioners take up the decision support tools to diagnose and prioritize LDFs in food and nutrition interventions,Government and development practitioners take up the decision support tools to diagnose and prioritize LDFs in food and nutrition interventions (WP2-1),Innovation,,,"government body, non-government organizations (NGO)",change in behavior/practice,Yes,,,,country,"Uganda, The Socialist Republic of Viet Nam",,Number of actors (government and development practitioners) taking up the decision support tools (target is organisation level),,Number,Primary,KII; KASP surveys; MELIA studies,Midline and End of Inititative,country,,,0,01/01/2022,"4
 0
 0","01/01/2025
 31/12/2022
 31/12/2023","INIT-17 - Sustainable Animal Productivity for Livelihoods, Nutrition and Gender Inclusion.xlsx",,,21
Work Package 2 Livestock derived foods as part of diverse diets,OUTCOME,"WP2-2: Government, development practitioners and private sector support and promote SBCC and market-related innovations","Government, development practitioners and private sector support and promote SBCC and market-related innovations that enhance affordability and safety of LDFs (WP2-2)",Innovation,,,"government body, non-government organizations (NGO)",change in behavior/practice,Yes,,,,country,"Uganda, The Socialist Republic of Viet Nam",,Number of actors (government and development practitioners) supporting and promoting SBCC and market-related innovations (target at institution level),Change in practice/behavior of individuals or organizations,Number,Primary,KII; KASP surveys; MELIA studies,Midline and End of Initiative,country,,,0,01/01/2022,"3
 0
 1","01/01/2025
 31/12/2022
 31/12/2023","INIT-17 - Sustainable Animal Productivity for Livelihoods, Nutrition and Gender Inclusion.xlsx",,,4
Work Package 3 Gender equity and social inclusion,OUTCOME,"WP3-1: Policy, private sector and the development community acknowledge gender- and youth-based discrimination in livestock value-chains.","In 2 selected countries policy, private sector and the development community acknowledge gender- and youth-based discrimination in livestock value chains and co-develop strategies to close the gender and age gap  (WP3-1)",Other,,,"policymaker, government body, private company, small and medium enterprises (SME), non-government organizations (NGO), research institution, intergovernmental organization ","change in knowledge, change in attitude, change in skills, change in behavior/practice",Yes,,,,global,,,Number of strategies co-developed,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Primary,Expert and desk review,Midterm and End of Initiative,country,,,0,01/01/2022,"2
 1
 0","01/01/2025
 31/12/2022
 31/12/2023","INIT-17 - Sustainable Animal Productivity for Livelihoods, Nutrition and Gender Inclusion.xlsx",,,-1
Work Package 3 Gender equity and social inclusion,OUTCOME,WP3-2: Community and household members in selected livestock value chains adopt gender-transformative approaches and show more gender-equitable behavior.,Community and household members in selected livestock value chains adopt gender-transformative approaches and show more gender-equitable behavior to enable participation and benefitting from livestock assets and opportunities (WP3-2),Innovation,,,"Farmers, Farmers’ associations","change in knowledge, change in attitude, change in behavior/practice",Yes,,,,global,,,"Number of beneficiaries using the gender-transformative approach (innovation), disaggregated by gender","Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary and Secondary,Gender norms survey (HH level) and secondary data,Baseline and End of Initiative,country,,,0,01/01/2022,"20000
 0
 0","01/01/2025
 31/12/2022
 31/12/2023","INIT-17 - Sustainable Animal Productivity for Livelihoods, Nutrition and Gender Inclusion.xlsx",,,-1
Work Package 3 Gender equity and social inclusion,OUTCOME,"WP3-3: Scientists, practitioners and extension agents in animal health, feeds and forages, genetics and environment collaborate with gender scientists to generate gender- and youth-responsive livestock innovation bundles.","Scientists, practitioners and extension agents in animal health, feeds and forages, genetics and environment collaborate with gender scientists to generate gender- and youth-responsive livestock innovation bundles (WP3-3)",Innovation,,,"non-government organizations (NGO), university, research institution, intergovernmental organization ","change in knowledge, change in attitude, change in skills, change in behavior/practice",Yes,,,,global,,,Number of co-authored publications on gender- and youth-responsive livestock innovation bundles,Quantitative measure of CGIAR innovation development (publications),Number,Primary,Publication,Yearly,global,,,0,01/01/2022,"4
 0
 0","01/01/2025
 31/12/2022
 31/12/2023","INIT-17 - Sustainable Animal Productivity for Livelihoods, Nutrition and Gender Inclusion.xlsx",,,23
Work Package 4 Competitive and inclusive livestock value chains,OUTCOME,"WP4-1: Government and development practitioners support new business models and interventions
",Government and development practitioners support new business models and interventions that ensure improved competitiveness of the livestock value chains (WP 4-1),Innovation,,,"government body, non-government organizations (NGO), intergovernmental organization ",change in behavior/practice,Yes,,,,country,"Mali, Tanzania, United Republic, Uganda, Ethiopia, Kenya, The Socialist Republic of Viet Nam, Nepal",,Number of actors (government and development practitioners) supporting new business models and interventions (target at organisation level),Change in practice/behavior of individuals or organizations,Number,Primary,"KII, KASP surveys",Yearly,country,,,0,01/01/2022,"4
 0
 1","01/01/2025
 31/12/2022
 31/12/2023","INIT-17 - Sustainable Animal Productivity for Livelihoods, Nutrition and Gender Inclusion.xlsx",,,21
Work Package 4 Competitive and inclusive livestock value chains,OUTCOME,WP4-2: Government and development practitioners support and promote SAPLING innovation packages,Government and development practitioners support and promote SAPLING innovation packages (WP4-2),Innovation,,,"government body, non-government organizations (NGO), intergovernmental organization ",change in behavior/practice,Yes,,,,country,"Mali, Uganda, Tanzania, United Republic, Nepal, Ethiopia, Kenya, The Socialist Republic of Viet Nam",,Number of government and development practitioners supporting and promoting SAPLING innovation packages (target at organisation level),Quantitative measure of stakeholder engagement,Number,Primary,KII; KASP surveys,Midline and End of Initiative,country,,,0,01/01/2022,"8
 0
 1","01/01/2025
 31/12/2023
 31/12/2022","INIT-17 - Sustainable Animal Productivity for Livelihoods, Nutrition and Gender Inclusion.xlsx",,,-1
Work Package 4 Competitive and inclusive livestock value chains,OUTCOME,WP4-3: Market actors invest in profitable and inclusive business models promoted by SAPLING,"Market actors invest in profitable and inclusive business models promoted by SAPLING, that provide transparent and efficient output markets (WP4-3)",Innovation,,,"private company, small and medium enterprises (SME), Farmers’ associations",change in behavior/practice,Yes,,,,country,"Uganda, Ethiopia, Mali, Nepal, Kenya, Tanzania, United Republic, The Socialist Republic of Viet Nam",,"Number of market actors investing in the innovation, disaggregated by gender","Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary,Market agent questionnaires / KASP surveys,Midline and End of Initiative,country,,,0,01/01/2022,"175
 0
 30","01/01/2025
 31/12/2022
 31/12/2023","INIT-17 - Sustainable Animal Productivity for Livelihoods, Nutrition and Gender Inclusion.xlsx",,,19
"Work Package 5 Evidence, Decisions and Scaling ",OUTCOME,WP5-1: Value chain actors are adjusting their investments and practices,"Value chain actors are adjusting their investments and practises based on prioritisation, trade-off and/or scaling readiness analysis (WP5-1)",Other,,,"policymaker, government body, private company, small and medium enterprises (SME), non-government organizations (NGO), research institution, intergovernmental organization ","change in behavior/practice, Change in policy",No,,,,country,"Ethiopia, Nepal, The Socialist Republic of Viet Nam, Uganda, Tanzania, United Republic, Kenya, Mali",,Number of investments/practices modified in design or implementation (target is country-level),"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Primary,KII; KASP surveys,Midline and End of Initiative,country,,,0,01/01/2022,"4
 0
 1","01/01/2025
 31/12/2022
 31/12/2023","INIT-17 - Sustainable Animal Productivity for Livelihoods, Nutrition and Gender Inclusion.xlsx",,,0
"Work Package 5 Evidence, Decisions and Scaling ",OUTCOME,WP5-2: Public and private decision-makers utilize Initiative-developed tools and recommendations to inform policies and investments ,Public and private decision makers utilize Initiative-developed tools and recommendations to inform policies and investments in the 7 focus countries and beyond (scaling) (WP5-2),Other,,,"policymaker, government body, private company, small and medium enterprises (SME), non-government organizations (NGO), research institution, intergovernmental organization ",,Yes,,,,country,"Kenya, Ethiopia, Tanzania, United Republic, Mali, Nepal, The Socialist Republic of Viet Nam, Uganda",,Number of policies / investments informed by SAPLING tools and recommendations (target is country-level),"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Primary,KII; KASP surveys,Midline and End of Initiative,country,,,0,01/01/2022,"4
 1
 2","01/01/2025
 31/12/2022
 31/12/2023","INIT-17 - Sustainable Animal Productivity for Livelihoods, Nutrition and Gender Inclusion.xlsx",,,-1
"Work Package 5 Evidence, Decisions and Scaling ",OUTCOME,"WP5-3: Researchers and decision makers have access to and use improved analytical tools, evidence and processes to guide LMP","Researchers and decision makers have access to and use improved analytical tools (environmentally and gender-sensitive), evidence and processes to guide livestock master plans (LMP) (WP5-3)",Innovation,,,"policymaker, government body, university, research institution",change in behavior/practice,Yes,,,,country,"Gambia, Nepal, Nigeria, Uganda, Ethiopia, Madagascar, Mali, The Socialist Republic of Viet Nam, Botswana, Kenya, Tanzania, United Republic, Senegal",,"Number of researchers and decision-makers using improved analytical tools, evidence and processes (target at country-level)",Number of institutions demonstrating a change in practice,Number,Primary,KII; KASP surveys,Midline and End of Initiative,country,,,0,01/01/2022,"5
 0
 0","01/01/2025
 31/12/2022
 31/12/2023","INIT-17 - Sustainable Animal Productivity for Livelihoods, Nutrition and Gender Inclusion.xlsx",,,9
